                C H A N D U   T H E   M A G I C I A N
                -----------   -----   ---------------

                           1932 - 1949

First Show: Oct 08, 1932                      Last Show: Jun 10, 1950
Number Shows: Series 1, ???                       Audition Show: none
              Series 2, 154
              Series 3, 13
              Series 4, ??


Series Description:

CHANDU THE MAGICIAN first aired from 1932 to 1936 as a daily 15-
minute serial.  The series starred Gayne Whitman.  Approximately
eighty episodes exist from this run.  Most of the episodes that
survived are from the end of the '32-'36 series.

The scripts from the first run were reproduced in the 1948 to 1949
version, starring Tom Collins in the title role.  The complete run
of 154 episodes is available from this series.  The series is broken
into three stories.  The first is "The Search For Robert Regent" and
has 68 15-minute episodes (or chapters).  The second is "Mission To
Montabania", with 48 15-minute episodes.  The third, and last, is
"The Return Of Roxor", consisting of 38 15-minute shows.

The last 15-minute show was on January, 28, 1949.  On February 3,
1949, the show switched to a once-a-week, 30-minute format.  It
started with a 13 show series, of which 12 are available.  This
series was a condensed version of "The Search For Robert Regent".

There were about 30 shows following the 13 week run on Mutual.
This new series was on ABC, and the emphasis is on Frank Chandler
the spy, with maybe one magic stunt at the end to wrap up the plot.
The women of the family are pretty much missing, as is Princess
Nadji.  Bob pops up occasionally.  These shows sound very rushed,
and some are rehashes of old stories.  All in all, they are pretty
poor - this from a Chandu fan.  (Last paragraph was based on info
from Max Schmid. See Feedback.)


Log Comments:

Since the full run of the earlier run is not available, This list is
restricted to the 1948 / 1949 15-minute serials, the 30-minute shows
that followed and some of the shows from the final ABC series.

A number of catalogs show episode numbers that follow the full run.
For example, one catalog offers episodes 1 through 154 of the 1948-
1949 run.  Since I could break that run into 3 parts, I've numbered
episodes based on episodes in each part.

Many catalogs listed only episode numbers and no titles.  Titles in
this log were the first ones found.  For example, titles for episode
21 through 68 of the 1948 "The Search For Robert Regent" came from
the Radio Memories catalog.  No attempt to list alternate titles has
been made.


Chronological Log:


***********  Series 2: 1948 / 1949 15-Minute Serials  ************

Date          Day  Num  Episode Title                        Avail
Aug 20, 1948  Fri   40  "Douglas Tells Roxor"                yes
Aug 23, 1948  Mon   41  "Letter Arrives"                     yes
Aug 24, 1948  Tue   42  "Roxor's Plan"                       yes
Aug 25, 1948  Wed   43  "Fraud's Identity"                   yes
Aug 26, 1948  Thu   44  "Abdullah Stabbed"                   yes
Aug 27, 1948  Fri   45  "Inquest Planned"                    yes
Aug 30, 1948  Mon   46  "Douglas Disappears"                 yes
Aug 31, 1948  Tue   47  "Lost In The Catacombs"              yes
Sep 01, 1948  Wed   48  "Chandu's Rescue"                    yes
Sep 02, 1948  Thu   49  "Roxor Is Alive"                     yes
Sep 03, 1948  Fri   50  "Chandu Escapes"                     yes
Sep 06, 1948  Mon   51  "Reaching The Ruins"                 yes
Sep 07, 1948  Tue   52  "Judy Allen"                         yes
Sep 08, 1948  Wed   53  "Torture Chamber"                    yes
Sep 09, 1948  Thu   54  "Story Teller"                       yes
Sep 10, 1948  Fri   55  "Cairo Restaurant"                   yes
Sep 13, 1948  Mon   56  "Robert's Ring"                      yes
Sep 14, 1948  Tue   57  "Arenia The Spider"                  yes
Sep 15, 1948  Wed   58  "Curse On Betty"                     yes
Sep 16, 1948  Thu   59  "Ben Ali's Home"                     yes
Sep 17, 1948  Fri   60  "Opening The Letter"                 yes
Sep 20, 1948  Mon   61  "Sonya Shoots Nagi"                  yes
Sep 21, 1948  Tue   62  "Betty And Bob Run"                  yes
Sep 22, 1948  Wed   63  "Arenia Is Shot"                     yes
Sep 23, 1948  Thu   64  "Message For Nagi"                   yes
Sep 24, 1948  Fri   65  "Mirror Of Life"                     yes
Sep 27, 1948  Mon   66  "Roxor Is Killed"                    yes
Sep 28, 1948  Tue   67  "Exploring The Garden"               yes
Sep 29, 1948  Wed   68  "Family Is Reunited - Conclusion"    yes


Date          Day  Num  Episode Title                        Avail
------------  ---  ---  -----------------------------------  -----
                        MISSION TO MONTABANIA
Oct 01, 1948  Fri    1  "Visions Of Disaster"                yes
Oct 04, 1948  Mon    2  "Danger At Home"                     yes
Oct 05, 1948  Tue    3  "Psychic Communication"              yes
Oct 06, 1948  Wed    4  "California Intrigue"                yes
Oct 07, 1948  Thu    5  "Rendezvous In Paris"                yes
Oct 08, 1948  Fri    6  "Spector Of The Sword"               yes
Oct 11, 1948  Mon    7  "The Map In The Wall"                yes
Oct 12, 1948  Tue    8  "A Gypsy Warning"                    yes
Oct 13, 1948  Wed    9  "At The Ball"                        yes
Oct 14, 1948  Thu   10  "Prince Dimitri - Friend Or Foe?"    yes
Oct 15, 1948  Fri   11  "Incantation Of Evil"                yes
Oct 18, 1948  Mon   12  "The Intruder"                       yes
Oct 19, 1948  Tue   13  "Meeting With Dimitri"               yes
Oct 20, 1948  Wed   14  "Ancient History"                    yes
Oct 21, 1948  Thu   15  "Message From Nadji"                 yes
Oct 22, 1948  Fri   16  "The Figurine Of Black Magic"        yes
Oct 25, 1948  Mon   17  "Meeting With Von Metzoss"           yes
Oct 26, 1948  Tue   18  "Treachery On The Trail"             yes
Oct 27, 1948  Wed   19  "Off To Paris"                       yes
Oct 28, 1948  Thu   20  "Dorothy In Peril"                   yes
Oct 29, 1948  Fri   21  "In The Caverns Of The Castle"       yes
Nov 01, 1948  Mon   22  "The Yogi's Warning"                 yes
Nov 02, 1948  Tue   23  "Gypsy Trickery"                     yes
Nov 03, 1948  Wed   24  "The Key"                            yes
Nov 04, 1948  Thu   25  "The Portrait's Secret"              yes
Nov 05, 1948  Fri   26  "The Man In The Shadows"             yes
Nov 08, 1948  Mon   27  "The Howling Dog"                    yes
Nov 09, 1948  Tue   28  "The Spy"                            yes
Nov 10, 1948  Wed   29  "Mourning For A King"                yes
Nov 11, 1948  Thu   30  "New Treachery"                      yes
Nov 12, 1948  Fri   31  "Around The Gypsy Campfire"          yes
Nov 15, 1948  Mon   32  "Gypsy Warning"                      yes
Nov 16, 1948  Tue   33  "Up The Mountain Of The Scimitar"    yes
Nov 17, 1948  Wed   34  "The Secret Of The Cave"             yes
Nov 18, 1948  Thu   35  "Black Magic Strikes"                yes
Nov 19, 1948  Fri   36  "The Letter Is ÒRÓ"                  yes
Nov 22, 1948  Mon   37  "Confrontations"                     yes
Nov 23, 1948  Tue   38  "Duel Of The Sorcerers"              yes
Nov 24, 1948  Wed   39  "The Malevolent Dwarf"               yes
Nov 25, 1948  Thu   40  "Hypnotic Interrogation"             yes
Nov 26, 1948  Fri   41  "Surprise Visit"                     yes
Nov 29, 1948  Mon   42  "Plotter's Of Death"                 yes
Nov 30, 1948  Tue   43  "Demitri's Offer"                    yes
Dec 01, 1948  Wed   44  "The Letter From Paris"              yes
Dec 02, 1948  Thu   45  "Return Of The Assassin"             yes
Dec 03, 1948  Fri   46  "The Brothers Of Jeopardy"           yes
Dec 06, 1948  Mon   47  "Return Of Roxor"                    yes
Dec 07, 1948  Tue   48  "Return Of The King"                 yes


Date          Day  Num  Episode Title                        Avail
------------  ---  ---  -----------------------------------  -----
                        THE RETURN OF ROXOR
Dec 08, 1948  Wed    1  "Nadgi's Secret"                     yes
Dec 09, 1948  Thu    2  "The Missing Scientist"              yes
Dec 10, 1948  Fri    3  "Cafe Of Intrigue"                   yes
Dec 13, 1948  Mon    4  "Psychic Vision"                     yes
Dec 14, 1948  Tue    5  "Strangers On A Train"               yes
Dec 15, 1948  Wed    6  "Mission To Cairo"                   yes
Dec 16, 1948  Thu    7  "Desert Visitors"                    yes
Dec 17, 1948  Fri    8  "The Story Teller"                   yes
Dec 20, 1948  Mon    9  "Sinister Schemes"                   yes
Dec 21, 1948  Tue   10  "The House Of Fear"                  yes
Dec 22, 1948  Wed   11  "The Return Of The Spider"           yes
Dec 23, 1948  Thu   12  "Psychic Vision"                     yes
Dec 24, 1948  Fri   13  "Occult Powers"                      yes
Dec 27, 1948  Mon   14  "The Power Of Chandu"                yes
Dec 28, 1948  Tue   15  "The Yogi Speaks"                    yes
Dec 29, 1948  Wed   16  "The Time Of Terror"                 yes
Dec 30, 1948  Thu   17  "Mystery In Siam"                    yes
Dec 31, 1948  Fri   18  "The Mark Of The Cobra God"          yes
Jan 03, 1949  Mon   19  "Powerless"                          yes
Jan 04, 1949  Tue   20  "Condemned To Death"                 yes
Jan 05, 1949  Wed   21  "Midnight Trial"                     yes
Jan 06, 1949  Thu   22  "Bob's And Betty's Desperate Plans"  yes
Jan 07, 1949  Fri   23  "Native Treachery"                   yes
Jan 10, 1949  Mon   24  "Dr. Shaw's Secret"                  yes
Jan 11, 1949  Tue   25  "The Dark Clouds Of Fear"            yes
Jan 12, 1949  Wed   26  "Jungle Exorcism"                    yes
Jan 13, 1949  Thu   27  "Night Of The Tiger"                 yes
Jan 14, 1949  Fri   28  "Visitor From Bangkok"               yes
Jan 17, 1949  Mon   29  "Tiger Hunt"                         yes
Jan 18, 1949  Tue   30  "The Captive Prince"                 yes
Jan 19, 1949  Wed   31  "Rendezvous In Calcutta"             yes
Jan 20, 1949  Thu   32  "Toast To Death"                     yes
Jan 21, 1949  Fri   33  "Deadly Spies"                       yes
Jan 24, 1949  Mon   34  "In The Grip Of Dark Forces"         yes
Jan 25, 1949  Tue   35  "The Voice Of Chandu"                yes
Jan 26, 1949  Wed   36  "Struggle In The Dark"               yes
Jan 27, 1949  Thu   37  "The Mark Of The Cobra God"          yes
Jan 28, 1949  Fri   38  "Banished To Oblivion"               yes
                        (end of 15-minute serials)


*****************  Series 3: 1949 30-Minute Run  *****************

Date          Day  Num  Episode Title"                       Avail
------------  ---  ---  -----------------------------------  -----
                        THE SEARCH FOR ROBERT REGENT
Feb 03, 1949  Thu    1  "Black Steps"                        yes
Feb 10, 1949  Thu    2  "Village Of The Thieves"             yes
Feb 17, 1949  Thu    3  "Man With The Photographic Memory"   yes
Feb 24, 1949  Thu    4  "Brotherhood Of The Blood Oath"      yes
Mar 03, 1949  Thu    5  "Spell Of Dimitri"                   yes
Mar 10, 1949  Thu    6  "Framed For Smuggling"               yes
Mar 17, 1949  Thu    7  "Temple Of Karnack"                  yes
Mar 24, 1949  Thu    8  "Temple Under The Sea"               yes
Mar 31, 1949  Thu    9  "House Of Fear"                      yes
Apr 07, 1949  Thu   10  ... title not known ...
Apr 14, 1949  Thu   11  "Voice Of Darkness"                  yes
Apr 21, 1949  Thu   12  "Ominous Deadly Sahara"              yes
Apr 28, 1949  Thu   13  "Fog Of The Forgotten Valley"        yes
                        (last of this series)


*************  Series 4: The ABC 30-Minute Shows  **************

Date          Day  Num  Episode Title"                        Avail
------------  ---  ---  ------------------------------------  -----
May 06, 1949  Fri       "The Deadly Sahara"                   yes
                            Stars Tom Collins

Nov 19, 1949  Sat       "The Drug Runner"                     yes
Nov 26, 1949  Sat       "Island Of Disappearing Men"          yes
Dec 03, 1949  Sat       "Death On The Golden Morn"            yes
Dec 10, 1949  Sat       "The Wizard Of Kalahari"              yes
Dec 17, 1949  Sat       "Terror In The Negev Desert"          yes
Dec 24, 1949  Sat       "When The Mummy Moved"                yes

Jul 26, 1950  Wed       "Rocket Sabotage"                     yes
Aug 02, 1950  Wed       "The Clever Jeff Adams"               yes
Aug 09, 1950  Wed       "Henri, The Dress Designer"           yes
Aug 16, 1950  Wed       "Black Market Hi-Jackers"             yes
Aug 23, 1950  Wed       "Dr. Coleman, Alias Dr. Dauer"        yes
Aug 30, 1950  Wed       "Naval Drug Fraud"                    yes

